STATION_NA,longitude,latitude,cluster_25,cluster_lat,cluster_long,num_stations
ADMIRALTY MRT STATION,103.80085749444676,1.44040693294001,7,1.4349520309946746,103.7839784007918,6
KRANJI MRT STATION,103.76205264444424,1.4249606810976625,7,1.4349520309946746,103.7839784007918,6
MARSILING MRT STATION,103.774109649605,1.4326934873645023,7,1.4349520309946746,103.7839784007918,6
WOODLANDS MRT STATION,103.78762680085627,1.4361869096379911,7,1.4349520309946746,103.7839784007918,6
WOODLANDS NORTH MRT STATION,103.78526567605,1.44849190110188,7,1.4349520309946746,103.7839784007918,6
WOODLANDS SOUTH MRT STATION,103.7939581393486,1.426972273826002,7,1.4349520309946746,103.7839784007918,6
ALJUNIED MRT STATION,103.8824847691195,1.316363207824395,10,1.3153009423083484,103.88196638453816,9
DAKOTA MRT STATION,103.888643276513,1.3084554689648549,10,1.3153009423083484,103.88196638453816,9
GEYLANG BAHRU MRT STATION,103.871674939498,1.3213354072677852,10,1.3153009423083484,103.88196638453816,9
KALLANG MRT STATION,103.8716588200145,1.311661126759665,10,1.3153009423083484,103.88196638453816,9
MACPHERSON MRT STATION,103.8895583246748,1.325870711025186,10,1.3153009423083484,103.88196638453816,9
MATTAR MRT STATION,103.883240227279,1.326857468129435,10,1.3153009423083484,103.88196638453816,9
MOUNTBATTEN MRT STATION,103.882922914219,1.30639931794461,10,1.3153009423083484,103.88196638453816,9
PAYA LEBAR MRT STATION,103.89220107839375,1.31782511598738,10,1.3153009423083484,103.88196638453816,9
STADIUM MRT STATION,103.875313111132,1.302940656871825,10,1.3153009423083484,103.88196638453816,9
ANG MO KIO MRT STATION,103.84967573689524,1.3696182336423726,6,1.3656366371911717,103.84021965756054,8
BISHAN MRT STATION,103.8486921069672,1.350863401445996,6,1.3656366371911717,103.84021965756054,8
BRIGHT HILL MRT STATION,103.8328688965175,1.3631669264740252,6,1.3656366371911717,103.84021965756054,8
LENTOR MRT STATION,103.8365519403028,1.3847385802272618,6,1.3656366371911717,103.84021965756054,8
MARYMOUNT MRT STATION,103.839573437439,1.3484232292972251,6,1.3656366371911717,103.84021965756054,8
MAYFLOWER MRT STATION,103.83676563946042,1.3720404197659628,6,1.3656366371911717,103.84021965756054,8
UPPER THOMSON MRT STATION,103.8328205684132,1.3545271235856,6,1.3656366371911717,103.84021965756054,8
YIO CHU KANG MRT STATION,103.844808934489,1.38171518309093,6,1.3656366371911717,103.84021965756054,8
BAKAU LRT STATION,103.90546387737852,1.388013092354575,22,1.3944041910196874,103.90873021404327,10
COMPASSVALE LRT STATION,103.9006615335765,1.394430846904965,22,1.3944041910196874,103.90873021404327,10
CORAL EDGE LRT STATION,103.9126804891685,1.3938277296662251,22,1.3944041910196874,103.90873021404327,10
COVE LRT STATION,103.906052374688,1.3992135250589102,22,1.3944041910196874,103.90873021404327,10
KADALOOR LRT STATION,103.916452294405,1.399610365165285,22,1.3944041910196874,103.90873021404327,10
KANGKAR LRT STATION,103.902211963085,1.3839198530203651,22,1.3944041910196874,103.90873021404327,10
MERIDIAN LRT STATION,103.9089176646705,1.396901369969045,22,1.3944041910196874,103.90873021404327,10
OASIS LRT STATION,103.912700353428,1.402305425411185,22,1.3944041910196874,103.90873021404327,10
RIVIERA LRT STATION,103.916099284524,1.394442338544045,22,1.3944041910196874,103.90873021404327,10
RUMBIA LRT STATION,103.906062305509,1.3913773641022749,22,1.3944041910196874,103.90873021404327,10
BANGKIT LRT STATION,103.772590574209,1.37985334676455,16,1.3801299384635124,103.7658701730617,11
BUKIT PANJANG LRT STATION,103.76305411282624,1.3779589156795375,16,1.3801299384635124,103.7658701730617,11
BUKIT PANJANG MRT STATION,103.7612314109025,1.3792845546744776,16,1.3801299384635124,103.7658701730617,11
CASHEW MRT STATION,103.764234480711,1.36983331859629,16,1.3801299384635124,103.7658701730617,11
FAJAR LRT STATION,103.770675518445,1.38446507117965,16,1.3801299384635124,103.7658701730617,11
JELAPANG LRT STATION,103.764676792845,1.38683269953093,16,1.3801299384635124,103.7658701730617,11
PENDING LRT STATION,103.771327842297,1.37629711719364,16,1.3801299384635124,103.7658701730617,11
PETIR LRT STATION,103.766793014963,1.37760322809516,16,1.3801299384635124,103.7658701730617,11
PHOENIX LRT STATION,103.758252475106,1.37861406821397,16,1.3801299384635124,103.7658701730617,11
SEGAR LRT STATION,103.769409914802,1.38781155599523,16,1.3801299384635124,103.7658701730617,11
SENJA LRT STATION,103.762325766572,1.3828754471752,16,1.3801299384635124,103.7658701730617,11
BARTLEY MRT STATION,103.879582293595,1.3428749053727098,19,1.3443761439412114,103.87562693041292,7
KOVAN MRT STATION,103.884826579586,1.3599804073029933,19,1.3443761439412114,103.87562693041292,7
LORONG CHUAN MRT STATION,103.8639259867105,1.351588820743955,19,1.3443761439412114,103.87562693041292,7
POTONG PASIR MRT STATION,103.869001192418,1.3316720679855634,19,1.3443761439412114,103.87562693041292,7
SERANGOON MRT STATION,103.87329741577362,1.3502623171668324,19,1.3443761439412114,103.87562693041292,7
TAI SENG MRT STATION,103.887920752517,1.3352674810786,19,1.3443761439412114,103.87562693041292,7
WOODLEIGH MRT STATION,103.87083429229034,1.3389870079378263,19,1.3443761439412114,103.87562693041292,7
BAYFRONT MRT STATION,103.8592045654834,1.282089309786342,20,1.279704112889254,103.8522408933632,14
CHINATOWN MRT STATION,103.84407269085716,1.2846415113506169,20,1.279704112889254,103.8522408933632,14
CLARKE QUAY MRT STATION,103.84656501759348,1.2886155666760268,20,1.279704112889254,103.8522408933632,14
