school_name,address,postal_code,type_code,nature_code,session_code,mainlevel_code,sap_ind_x,autonomous_ind_x,gifted_ind_x,ip_ind_x,latitude,longitude,cluster,school_count,sap_ind_y,autonomous_ind_y,gifted_ind_y,ip_ind_y,sap_ind_pct,autonomous_ind_pct,gifted_ind_pct,ip_ind_pct,cluster_center_lat,cluster_center_lng
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD,768689,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.41937881620441,103.831050390247,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6,768960,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.42745159462566,103.848378442893,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD,768692,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.42081285020652,103.845147332528,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4,769026,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.42130404159807,103.840792923345,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22,768578,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.43580183362637,103.840104687784,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
NORTHOAKS PRIMARY SCHOOL,61 Sembawang Drive,757622,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.45732867302094,103.814075611175,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81,768454,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.41532032779634,103.837859241343,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD,768687,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.41741627551251,103.830143209875,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81,738525,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.44203596557592,103.788339762066,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
RIVERSIDE PRIMARY SCHOOL,110 Woodlands Crescent,737803,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.44700426493785,103.801889031334,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81,738524,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.44110157139127,103.78830823641,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE,757715,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.4457453096024,103.821152676215,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
SEMBAWANG SECONDARY SCHOOL,30 SEMBAWANG CRESCENT,757704,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.44531502131387,103.816843258118,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1,739067,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43240935732525,103.786035065192,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
SINGAPORE SPORTS SCHOOL,1 Champions Way,737913,SPECIALISED INDEPENDENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVELS,False,False,False,False,1.42641140556342,103.789444793951,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
SPECTRA SECONDARY SCHOOL,1 WOODLANDS DRIVE 64,737758,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.43703750789961,103.804100467487,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE,757702,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.45168517614776,103.822516208087,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14,738079,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43273620725049,103.79023031392,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
WOODGROVE SECONDARY SCHOOL,3 WOODLANDS AVENUE 6,738990,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.42831828137013,103.79604758539,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50,738853,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43658270720199,103.791791282236,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD,738240,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43485179380236,103.79741434351,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
WOODLANDS RING SECONDARY SCHOOL,21 WOODLANDS AVENUE 1,739062,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.43070452883799,103.777625748539,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD,739111,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.43912528141356,103.774586410437,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21,768611,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43347186925064,103.837755319448,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD,768675,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,False,False,False,False,1.42426692572335,103.83003171149,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD,768679,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43397617334964,103.834050796658,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71,768516,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.42813324276086,103.828764316679,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21,768610,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.43232156717386,103.838094226361,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
AI TONG SCHOOL,100 Bright Hill Drive,579646,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.3605834338904,103.833020333986,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD,309919,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.31961649151328,103.835772689988,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD,227988,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.30935041274966,103.840950265464,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD,309918,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,True,False,1.31837054523521,103.835609732354,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
