Year,Month,Average_Close
2016,3,2829.8227206143465
2016,2,2611.9520970394738
2016,1,2654.754504394531
2015,12,2863.415438565341
2015,11,2939.360498046875
2015,10,2984.065007990057
2015,9,2862.1249755859376
2015,8,3039.8415655838817
2015,7,3316.885886452415
2015,6,3325.4780854724704
2015,5,3449.1315185546873
2015,4,3491.6290457589284
2015,3,3404.71865012429
2015,2,3424.2561306423613
2015,1,3353.9266648065477
2014,12,3308.446984863281
2014,11,3312.9639892578125
2014,10,3219.6880004882814
2014,9,3314.0872802734375
2014,8,3318.5333077566966
2014,7,3305.8876953125
2014,6,3280.4309430803573
2014,5,3262.5630004882814
2014,4,3232.8409714471727
2014,3,3112.509963262649
2014,2,3049.963000488281
2014,1,3115.881882440476
2013,12,3112.048560732887
2013,11,3186.5475219726563
2013,10,3182.5018310546875
2013,9,3144.089529854911
2013,8,3155.818981933594
2013,7,3209.05565344769
2013,6,3172.108984375
2013,5,3409.0495256696427
2013,4,3310.1104847301135
2013,3,3278.2505004882814
2013,2,3282.6094428168403
2013,1,3229.4777277166195
2012,12,3139.68203125
2012,11,3002.4095168340773
2012,10,3054.9904452237215
2012,9,3042.2824584960936
2012,8,3052.8514578683034
2012,7,2989.499069940476
2012,6,2806.7673596833883
2012,5,2858.1971493675596
2012,4,2985.00703125
2012,3,2988.052723277699
2012,2,2968.7935180664062
2012,1,2791.9505165501646
2011,12,2691.278587704613
2011,11,2768.2005004882812
2011,10,2713.6014892578123
2011,9,2761.419988458807
2011,8,2880.0228562127977
2011,7,3133.428515625
2011,6,3077.5063809481535
2011,5,3137.6042094983554
2011,4,3162.5050048828125
2011,3,3036.538277004076
2011,2,3093.1700080422793
2011,1,3230.2890508742557
2010,12,3173.188243036685
2010,11,3212.366003417969
2010,10,3167.4966750372023
2010,9,3060.4352446056546
2010,8,2951.2950439453125
2010,7,2928.472256747159
2010,6,2813.0818204012785
2010,5,2808.9085083007812
2010,4,2978.1857096354165
2010,3,2866.3152173913045
2010,2,2747.696099175347
2010,1,2864.368994140625
2009,12,2811.710009765625
2009,11,2720.7063116776317
2009,10,2669.5222611860795
2009,9,2649.987595331101
2009,8,2599.03701171875
2009,7,2420.226520040761
2009,6,2325.532725941051
2009,5,2193.84716796875
2009,4,1846.3147612072173
2009,3,1590.910000887784
2009,2,1664.7499935752467
2009,1,1777.2578831722863
2008,12,1739.247998046875
2008,11,1753.3584899902344
2008,10,1956.1752522786458
2008,9,2540.9631680575285
2008,8,2786.210472470238
2008,7,2903.8186590021305
2008,6,3040.1433221726193
2008,5,3185.568994140625
2008,4,3135.026844371449
2008,3,2903.6625
2008,2,3027.7650010850693
2008,1,3166.150468306108
2007,12,3481.4947702508225
2007,11,3503.3942754836307
2007,10,3787.1065302309785
2007,9,3531.1875244140624
2007,8,3336.497236772017
2007,7,3597.0027299360795
2007,6,3569.0138113839284
2007,5,3492.2361886160716
2007,4,3368.8630126953126
2007,3,3135.701804421165
2007,2,3224.213324652778
2007,1,3061.6323590959823
2006,12,2913.068505859375
2006,11,2779.237726384943
2006,10,2660.9571358816966
2006,9,2524.923781622024
2006,8,2458.834539240057
2006,7,2404.798095703125
2006,6,2354.905450994318
2006,5,2529.1171293712796
2006,4,2567.326300370066
2006,3,2502.3125849184785
2006,2,2439.5285034179688
2006,1,2393.8579956054687
2005,12,2326.644752139137
2005,11,2276.015002441406
2005,10,2273.0937848772323
2005,9,2303.061356977983
2005,8,2308.8795276988635
2005,7,2270.3319033668154
2005,6,2204.012706409801
2005,5,2162.2584838867188
2005,4,2150.9357096354165
2005,3,2156.6481711647725
2005,2,2139.2233208550347
2005,1,2082.2579956054688
2004,12,2044.2987166694973
2004,11,2023.7235046386718
2004,10,1977.626674107143
2004,9,1974.986366965554
2004,8,1903.4640946821733
2004,7,1867.8927279385653
2004,6,1809.7042992001489
2004,5,1790.4633324032739
2004,4,1864.3314325241815
2004,3,1852.8700057319973
2004,2,1871.2052644428454
2004,1,1851.1889455694902
2003,12,1729.54863392223
2003,11,1719.7473658511512
2003,10,1729.4213645241477
2003,9,1602.987265846946
2003,8,1582.1976085844494
2003,7,1545.723484205163
2003,6,1457.4947626023065
2003,5,1317.0385009765625
2003,4,1285.0371384393602
2003,3,1271.1209542410713
