school_name,address,postal_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,latitude,longitude,cluster
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD,339948,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.32181250780475,103.865404167629,4
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD,327919,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.32461111307996,103.860970284401,4
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS,109100,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.27612047924037,103.808628535239,4
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE,649930,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34284013791617,103.712858381937,0
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65,648354,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.34272216334333,103.701891453912,0
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI,547529,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.37035994436209,103.877659577677,3
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT,399935,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.30705061123433,103.886917922608,6
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8,658962,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.34849111079052,103.74087370482,0
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU,159050,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.28569283064288,103.813438929393,4
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4,689809,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.38224243360043,103.738361221869,5
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD,679676,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37350089986584,103.769417337654,5
