STATION_NA,longitude,latitude,cluster_25
ADMIRALTY MRT STATION,103.80085749444675,1.44040693294001,7
ALJUNIED MRT STATION,103.8824847691195,1.316363207824395,10
ANG MO KIO MRT STATION,103.84967573689525,1.3696182336423726,6
BAKAU LRT STATION,103.90546387737851,1.388013092354575,22
BANGKIT LRT STATION,103.772590574209,1.37985334676455,16
BARTLEY MRT STATION,103.879582293595,1.3428749053727098,19
BAYFRONT MRT STATION,103.8592045654834,1.282089309786342,20
BEAUTY WORLD MRT STATION,103.77573217376433,1.3410867460890732,18
BEDOK MRT STATION,103.92941150425968,1.3239705415943166,23
BEDOK NORTH MRT STATION,103.91851436903175,1.3345218518539075,8
BEDOK RESERVOIR MRT STATION,103.9331870061805,1.3364513321142049,23
BENCOOLEN MRT STATION,103.84989185539366,1.2983645713800966,3
BENDEMEER MRT STATION,103.863146618684,1.3136666153239251,17
BISHAN MRT STATION,103.8486921069672,1.3508634014459961,6
BOON KENG MRT STATION,103.861370955292,1.3190856294870332,17
BOON LAY MRT STATION,103.70571801969118,1.3384759405295732,15
BOTANIC GARDENS MRT STATION,103.815445525763,1.322609622642875,12
BRADDELL MRT STATION,103.846758956181,1.3408284916757165,17
BRAS BASAH MRT STATION,103.8505264190178,1.297001300942576,3
BRIGHT HILL MRT STATION,103.8328688965175,1.3631669264740252,6
BUANGKOK MRT STATION,103.893173494484,1.383029756905055,1
BUGIS MRT STATION,103.85620926697875,1.300268019479235,3
BUKIT BATOK MRT STATION,103.74969897623924,1.349219024939555,18
BUKIT GOMBAK MRT STATION,103.7519617476115,1.35903198502042,18
BUKIT PANJANG LRT STATION,103.76305411282625,1.3779589156795375,16
BUKIT PANJANG MRT STATION,103.7612314109025,1.3792845546744776,16
BUONA VISTA MRT STATION,103.790658812565,1.3069294345160025,0
CALDECOTT MRT STATION,103.8400353513785,1.33748698623184,17
CANBERRA MRT STATION,103.8297121775054,1.443227401411476,14
CASHEW MRT STATION,103.764234480711,1.36983331859629,16
CHANGI AIRPORT MRT STATION,103.98829061110601,1.3567808385324849,13
CHENG LIM LRT STATION,103.893802602925,1.396280094679355,1
CHINATOWN MRT STATION,103.84407269085716,1.2846415113506167,20
CHINESE GARDEN MRT STATION,103.73278503871234,1.34199555304583,9
CHOA CHU KANG LRT STATION,103.74460757173651,1.384989831957315,2
CHOA CHU KANG MRT STATION,103.74441550271285,1.3854246936999972,2
CITY HALL MRT STATION,103.8524408132035,1.29320592569534,3
CLARKE QUAY MRT STATION,103.84656501759349,1.2886155666760268,20
CLEMENTI MRT STATION,103.76537190030675,1.3147708499395074,0
COMMONWEALTH MRT STATION,103.7983787514185,1.30237267589,0
COMPASSVALE LRT STATION,103.9006615335765,1.394430846904965,22
CORAL EDGE LRT STATION,103.9126804891685,1.3938277296662251,22
COVE LRT STATION,103.906052374688,1.3992135250589102,22
DAKOTA MRT STATION,103.888643276513,1.3084554689648549,10
